Region,Jayson Tatum
Massachusetts,100
New Hampshire,69
Maine,64
Rhode Island,63
Connecticut,31
Vermont,30
Mississippi,29
Missouri,25
Wisconsin,24
Kentucky,24
Nebraska,24
Kansas,22
Arizona,22
Illinois,22
District of Columbia,22
Georgia,22
West Virginia,21
Wyoming,20
South Dakota,18
New Jersey,18
Oklahoma,17
New York,17
North Carolina,17
Alaska,17
Louisiana,17
Florida,16
North Dakota,16
Alabama,15
Texas,15
Maryland,15
Ohio,14
Indiana,14
New Mexico,14
Tennessee,14
Delaware,14
Virginia,14
Pennsylvania,14
Arkansas,13
Michigan,13
Utah,13
California,13
Idaho,13
South Carolina,12
Oregon,12
Minnesota,12
Nevada,11
Hawaii,11
Washington,10
Colorado,9
Iowa,8
Montana,5