Region,Boston Celtics
Massachusetts,100
New Hampshire,79
Maine,66
Rhode Island,57
Vermont,40
Connecticut,22
New York,8
Delaware,7
South Carolina,7
Montana,7
Alaska,7
Hawaii,7
District of Columbia,7
New Jersey,7
Virginia,7
West Virginia,6
Florida,6
Tennessee,6
Pennsylvania,6
Wisconsin,6
Maryland,6
North Carolina,6
Georgia,6
Mississippi,6
Iowa,5
Kentucky,5
South Dakota,5
Louisiana,5
New Mexico,5
Nevada,5
California,5
Ohio,5
Indiana,5
Arkansas,4
Alabama,4
Arizona,4
Illinois,4
Kansas,4
Missouri,4
Oregon,4
Idaho,4
North Dakota,4
Wyoming,4
Colorado,4
Washington,4
Texas,3
Utah,3
Minnesota,3
Michigan,3
Oklahoma,3
Nebraska,3